Price,ID,Address,Bathrooms,Bedrooms,Size/Area,Purpose,Type,Real State Agency,Real State Agent Name
PKR1.05 Crore,8370950,"Bahria Heights, Bahria Town Karachi, Karachi, Sindh",2,2,120 Sq. Yd,For Sale,Flat,Na,Na
PKR50 Lakh,8370959,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR52 Lakh,8370955,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR52 Lakh,8370949,"Malir Town Residency, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR50 Lakh,8370841,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR50 Lakh,8370846,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR50 Lakh,8370849,"Malir Town Residency, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR50 Lakh,8370858,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR50 Lakh,8370855,"Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR52 Lakh,8370853,"Malir Town Residency, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR52 Lakh,8370852,"Memon Goth, Gadap Town, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR52 Lakh,8370851,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR1.87 Crore,38371737,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,House,Na,Na
PKR1.89 Crore,38371738,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,House,Na,Na
Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
PKR1.91 Crore,38371740,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,House,Na,Na
PKR1.93 Crore,38371742,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,House,Na,Na
Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
PKR1.96 Crore,38371747,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,House,Na,Na
PKR1.16 Crore,8371626,"Bahria Heights, Bahria Town Karachi, Karachi, Sindh",2,2,120 Sq. Yd,For Sale,Flat,Na,Na
PKR1.3 Crore,Portion 38371630,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",3,2,125 Sq. Yd.,For Sale,Upper Portion,Harmain Real Estate,Shahid Hussain
PKR15.5 Crore,38371552,"DHA Phase 8, DHA Defence, Karachi, Sindh",6,6,500 Sq. Yd.,For Sale,House,Diplomat Estate,Mairaj Umrani
PKR17 Crore,38371550,"DHA Phase 6, DHA Defence, Karachi, Sindh",5,5,500 Sq. Yd.,For Sale,House,Diplomat Estate,Rizwan Suria
PKR18 Crore,38371547,"DHA Phase 6, DHA Defence, Karachi, Sindh",6,6,500 Sq. Yd.,For Sale,House,Diplomat Estate,Rizwan Suria
PKR1.27 Crore,8371470,"Bahria Heights, Bahria Town Karachi, Karachi, Sindh",2,2,120 Sq. Yd,For Sale,Flat,Na,Na
PKR1.5 Crore,4232920,"PECHS Block 2, PECHS, Jamshed Town, Karachi, Sindh",2,2,139 Sq. Yd.,For Sale,Flat,M. R Associates,Moen Khan
PKR2.7 Crore,Portion 32254370,"Allama Iqbal Road, PECHS, Jamshed Town, Karachi, Sindh",3,3,200 Sq. Yd.,For Sale,Upper Portion,M. R Associates,Moen Khan
PKR1.05 Crore,8370950,"Bahria Heights, Bahria Town Karachi, Karachi, Sindh",2,2,120 Sq. Yd,For Sale,Flat,Na,Na
PKR50 Lakh,8370959,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR52 Lakh,8370955,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR52 Lakh,8370949,"Malir Town Residency, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR50 Lakh,8370841,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR50 Lakh,8370846,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR50 Lakh,8370849,"Malir Town Residency, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR50 Lakh,8370858,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR50 Lakh,8370855,"Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR52 Lakh,8370853,"Malir Town Residency, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR52 Lakh,8370852,"Memon Goth, Gadap Town, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR52 Lakh,8370851,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR1.87 Crore,38371737,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,House,Na,Na
PKR1.89 Crore,38371738,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,House,Na,Na
Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
PKR1.91 Crore,38371740,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,House,Na,Na
PKR1.93 Crore,38371742,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,House,Na,Na
Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
PKR1.96 Crore,38371747,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,House,Na,Na
PKR1.16 Crore,8371626,"Bahria Heights, Bahria Town Karachi, Karachi, Sindh",2,2,120 Sq. Yd,For Sale,Flat,Na,Na
PKR1.3 Crore,Portion 38371630,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",3,2,125 Sq. Yd.,For Sale,Upper Portion,Harmain Real Estate,Shahid Hussain
PKR15.5 Crore,38371552,"DHA Phase 8, DHA Defence, Karachi, Sindh",6,6,500 Sq. Yd.,For Sale,House,Diplomat Estate,Mairaj Umrani
PKR17 Crore,38371550,"DHA Phase 6, DHA Defence, Karachi, Sindh",5,5,500 Sq. Yd.,For Sale,House,Diplomat Estate,Rizwan Suria
PKR18 Crore,38371547,"DHA Phase 6, DHA Defence, Karachi, Sindh",6,6,500 Sq. Yd.,For Sale,House,Diplomat Estate,Rizwan Suria
PKR1.27 Crore,8371470,"Bahria Heights, Bahria Town Karachi, Karachi, Sindh",2,2,120 Sq. Yd,For Sale,Flat,Na,Na
PKR1.5 Crore,4232920,"PECHS Block 2, PECHS, Jamshed Town, Karachi, Sindh",2,2,139 Sq. Yd.,For Sale,Flat,M. R Associates,Moen Khan
PKR2.7 Crore,Portion 32254370,"Allama Iqbal Road, PECHS, Jamshed Town, Karachi, Sindh",3,3,200 Sq. Yd.,For Sale,Upper Portion,M. R Associates,Moen Khan
PKR1.05 Crore,8370950,"Bahria Heights, Bahria Town Karachi, Karachi, Sindh",2,2,120 Sq. Yd,For Sale,Flat,Na,Na
PKR50 Lakh,8370959,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR52 Lakh,8370955,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR52 Lakh,8370949,"Malir Town Residency, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR50 Lakh,8370841,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR50 Lakh,8370846,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR50 Lakh,8370849,"Malir Town Residency, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR50 Lakh,8370858,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR50 Lakh,8370855,"Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR52 Lakh,8370853,"Malir Town Residency, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR52 Lakh,8370852,"Memon Goth, Gadap Town, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR52 Lakh,8370851,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR1.87 Crore,38371737,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,House,Na,Na
PKR1.89 Crore,38371738,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,House,Na,Na
Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
PKR1.91 Crore,38371740,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,House,Na,Na
PKR1.93 Crore,38371742,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,House,Na,Na
Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
PKR1.96 Crore,38371747,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,House,Na,Na
PKR1.16 Crore,8371626,"Bahria Heights, Bahria Town Karachi, Karachi, Sindh",2,2,120 Sq. Yd,For Sale,Flat,Na,Na
PKR1.3 Crore,Portion 38371630,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",3,2,125 Sq. Yd.,For Sale,Upper Portion,Harmain Real Estate,Shahid Hussain
PKR15.5 Crore,38371552,"DHA Phase 8, DHA Defence, Karachi, Sindh",6,6,500 Sq. Yd.,For Sale,House,Diplomat Estate,Mairaj Umrani
PKR17 Crore,38371550,"DHA Phase 6, DHA Defence, Karachi, Sindh",5,5,500 Sq. Yd.,For Sale,House,Diplomat Estate,Rizwan Suria
PKR18 Crore,38371547,"DHA Phase 6, DHA Defence, Karachi, Sindh",6,6,500 Sq. Yd.,For Sale,House,Diplomat Estate,Rizwan Suria
PKR1.27 Crore,8371470,"Bahria Heights, Bahria Town Karachi, Karachi, Sindh",2,2,120 Sq. Yd,For Sale,Flat,Na,Na
PKR1.5 Crore,4232920,"PECHS Block 2, PECHS, Jamshed Town, Karachi, Sindh",2,2,139 Sq. Yd.,For Sale,Flat,M. R Associates,Moen Khan
PKR2.7 Crore,Portion 32254370,"Allama Iqbal Road, PECHS, Jamshed Town, Karachi, Sindh",3,3,200 Sq. Yd.,For Sale,Upper Portion,M. R Associates,Moen Khan
PKR1.05 Crore,8370950,"Bahria Heights, Bahria Town Karachi, Karachi, Sindh",2,2,120 Sq. Yd,For Sale,Flat,Na,Na
PKR50 Lakh,8370959,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR52 Lakh,8370955,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR52 Lakh,8370949,"Malir Town Residency, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR50 Lakh,8370841,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR50 Lakh,8370846,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR50 Lakh,8370849,"Malir Town Residency, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR50 Lakh,8370858,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR50 Lakh,8370855,"Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR52 Lakh,8370853,"Malir Town Residency, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR52 Lakh,8370852,"Memon Goth, Gadap Town, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR52 Lakh,8370851,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR1.87 Crore,38371737,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,House,Na,Na
PKR1.89 Crore,38371738,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,House,Na,Na
Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
PKR1.91 Crore,38371740,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,House,Na,Na
PKR1.93 Crore,38371742,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,House,Na,Na
Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
PKR1.96 Crore,38371747,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,House,Na,Na
PKR1.16 Crore,8371626,"Bahria Heights, Bahria Town Karachi, Karachi, Sindh",2,2,120 Sq. Yd,For Sale,Flat,Na,Na
PKR1.3 Crore,Portion 38371630,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",3,2,125 Sq. Yd.,For Sale,Upper Portion,Harmain Real Estate,Shahid Hussain
PKR15.5 Crore,38371552,"DHA Phase 8, DHA Defence, Karachi, Sindh",6,6,500 Sq. Yd.,For Sale,House,Diplomat Estate,Mairaj Umrani
PKR17 Crore,38371550,"DHA Phase 6, DHA Defence, Karachi, Sindh",5,5,500 Sq. Yd.,For Sale,House,Diplomat Estate,Rizwan Suria
PKR18 Crore,38371547,"DHA Phase 6, DHA Defence, Karachi, Sindh",6,6,500 Sq. Yd.,For Sale,House,Diplomat Estate,Rizwan Suria
PKR1.27 Crore,8371470,"Bahria Heights, Bahria Town Karachi, Karachi, Sindh",2,2,120 Sq. Yd,For Sale,Flat,Na,Na
PKR1.5 Crore,4232920,"PECHS Block 2, PECHS, Jamshed Town, Karachi, Sindh",2,2,139 Sq. Yd.,For Sale,Flat,M. R Associates,Moen Khan
PKR2.7 Crore,Portion 32254370,"Allama Iqbal Road, PECHS, Jamshed Town, Karachi, Sindh",3,3,200 Sq. Yd.,For Sale,Upper Portion,M. R Associates,Moen Khan
PKR1.05 Crore,8370950,"Bahria Heights, Bahria Town Karachi, Karachi, Sindh",2,2,120 Sq. Yd,For Sale,Flat,Na,Na
PKR50 Lakh,8370959,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR52 Lakh,8370955,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR52 Lakh,8370949,"Malir Town Residency, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR50 Lakh,8370841,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR50 Lakh,8370846,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR50 Lakh,8370849,"Malir Town Residency, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR50 Lakh,8370858,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR50 Lakh,8370855,"Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR52 Lakh,8370853,"Malir Town Residency, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR52 Lakh,8370852,"Memon Goth, Gadap Town, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR52 Lakh,8370851,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR1.87 Crore,38371737,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,House,Na,Na
PKR1.89 Crore,38371738,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,House,Na,Na
Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
PKR1.91 Crore,38371740,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,House,Na,Na
PKR1.93 Crore,38371742,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,House,Na,Na
Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
PKR1.96 Crore,38371747,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,House,Na,Na
PKR1.16 Crore,8371626,"Bahria Heights, Bahria Town Karachi, Karachi, Sindh",2,2,120 Sq. Yd,For Sale,Flat,Na,Na
PKR1.3 Crore,Portion 38371630,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",3,2,125 Sq. Yd.,For Sale,Upper Portion,Harmain Real Estate,Shahid Hussain
PKR15.5 Crore,38371552,"DHA Phase 8, DHA Defence, Karachi, Sindh",6,6,500 Sq. Yd.,For Sale,House,Diplomat Estate,Mairaj Umrani
PKR17 Crore,38371550,"DHA Phase 6, DHA Defence, Karachi, Sindh",5,5,500 Sq. Yd.,For Sale,House,Diplomat Estate,Rizwan Suria
PKR18 Crore,38371547,"DHA Phase 6, DHA Defence, Karachi, Sindh",6,6,500 Sq. Yd.,For Sale,House,Diplomat Estate,Rizwan Suria
PKR1.27 Crore,8371470,"Bahria Heights, Bahria Town Karachi, Karachi, Sindh",2,2,120 Sq. Yd,For Sale,Flat,Na,Na
PKR1.5 Crore,4232920,"PECHS Block 2, PECHS, Jamshed Town, Karachi, Sindh",2,2,139 Sq. Yd.,For Sale,Flat,M. R Associates,Moen Khan
PKR2.7 Crore,Portion 32254370,"Allama Iqbal Road, PECHS, Jamshed Town, Karachi, Sindh",3,3,200 Sq. Yd.,For Sale,Upper Portion,M. R Associates,Moen Khan
PKR1.05 Crore,8370950,"Bahria Heights, Bahria Town Karachi, Karachi, Sindh",2,2,120 Sq. Yd,For Sale,Flat,Na,Na
PKR50 Lakh,8370959,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR52 Lakh,8370955,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR52 Lakh,8370949,"Malir Town Residency, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR50 Lakh,8370841,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR50 Lakh,8370846,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR50 Lakh,8370849,"Malir Town Residency, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR50 Lakh,8370858,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR50 Lakh,8370855,"Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR52 Lakh,8370853,"Malir Town Residency, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR52 Lakh,8370852,"Memon Goth, Gadap Town, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR52 Lakh,8370851,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR1.87 Crore,38371737,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,House,Na,Na
PKR1.89 Crore,38371738,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,House,Na,Na
Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
PKR1.91 Crore,38371740,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,House,Na,Na
PKR1.93 Crore,38371742,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,House,Na,Na
Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
PKR1.96 Crore,38371747,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,House,Na,Na
PKR1.16 Crore,8371626,"Bahria Heights, Bahria Town Karachi, Karachi, Sindh",2,2,120 Sq. Yd,For Sale,Flat,Na,Na
PKR1.3 Crore,Portion 38371630,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",3,2,125 Sq. Yd.,For Sale,Upper Portion,Harmain Real Estate,Shahid Hussain
PKR15.5 Crore,38371552,"DHA Phase 8, DHA Defence, Karachi, Sindh",6,6,500 Sq. Yd.,For Sale,House,Diplomat Estate,Mairaj Umrani
PKR17 Crore,38371550,"DHA Phase 6, DHA Defence, Karachi, Sindh",5,5,500 Sq. Yd.,For Sale,House,Diplomat Estate,Rizwan Suria
PKR18 Crore,38371547,"DHA Phase 6, DHA Defence, Karachi, Sindh",6,6,500 Sq. Yd.,For Sale,House,Diplomat Estate,Rizwan Suria
PKR1.27 Crore,8371470,"Bahria Heights, Bahria Town Karachi, Karachi, Sindh",2,2,120 Sq. Yd,For Sale,Flat,Na,Na
PKR1.5 Crore,4232920,"PECHS Block 2, PECHS, Jamshed Town, Karachi, Sindh",2,2,139 Sq. Yd.,For Sale,Flat,M. R Associates,Moen Khan
PKR2.7 Crore,Portion 32254370,"Allama Iqbal Road, PECHS, Jamshed Town, Karachi, Sindh",3,3,200 Sq. Yd.,For Sale,Upper Portion,M. R Associates,Moen Khan
PKR1.05 Crore,8370950,"Bahria Heights, Bahria Town Karachi, Karachi, Sindh",2,2,120 Sq. Yd,For Sale,Flat,Na,Na
PKR50 Lakh,8370959,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR52 Lakh,8370955,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR52 Lakh,8370949,"Malir Town Residency, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR50 Lakh,8370841,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR50 Lakh,8370846,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR50 Lakh,8370849,"Malir Town Residency, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR50 Lakh,8370858,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR50 Lakh,8370855,"Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR52 Lakh,8370853,"Malir Town Residency, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR52 Lakh,8370852,"Memon Goth, Gadap Town, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR52 Lakh,8370851,"Model Colony - Malir, Malir, Karachi, Sindh",2,2,67 Sq. Yd.,For Sale,Flat,Na,Na
PKR1.87 Crore,38371737,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,House,Na,Na
PKR1.89 Crore,38371738,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,House,Na,Na
Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
PKR1.91 Crore,38371740,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,House,Na,Na
PKR1.93 Crore,38371742,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,House,Na,Na
Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
PKR1.96 Crore,38371747,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",3,3,152 Sq. Yd.,For Sale,House,Na,Na
PKR1.16 Crore,8371626,"Bahria Heights, Bahria Town Karachi, Karachi, Sindh",2,2,120 Sq. Yd,For Sale,Flat,Na,Na
PKR1.3 Crore,Portion 38371630,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",3,2,125 Sq. Yd.,For Sale,Upper Portion,Harmain Real Estate,Shahid Hussain
